
1689397018650 :: place_order ::  :: 1689397018824 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689397022930 :: place_order ::  :: 1689397023066 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689397601405 :: place_order ::  :: 1689397601547 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689397692393 :: place_order ::  :: 1689397692525 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689397788608 :: place_order ::  :: 1689397788743 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398174852 :: place_order ::  :: 1689398175540 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398178529 :: place_order ::  :: 1689398178818 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398446579 :: place_order ::  :: 1689398446967 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398451077 :: place_order ::  :: 1689398451369 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398602273 :: place_order ::  :: 1689398602596 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398614771 :: place_order ::  :: 1689398615085 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398626496 :: place_order ::  :: 1689398626861 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398631055 :: place_order ::  :: 1689398631264 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689398781896 :: place_order ::  :: 1689398782180 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}
